term,precedentAlteration,issueArea
1810,1,9
1830,1,9
1832,1,9
1844,1,9
1851,1,8
1857,1,8
1860,1,9
1867,1,14
1868,1,10
1870,1,8
1871,1,14
1873,1,9
1874,1,8
1877,1,8
1879,1,10
1880,1,8
1880,1,1
1882,1,12
1882,1,9
1884,1,14
1886,1,8
1886,1,8
1887,1,9
1887,1,10
1889,1,8
1891,1,8
1893,1,14
1894,1,12
1912,1,8
1913,1,4
1915,1,2
1916,1,8
1917,1,8
1917,1,8
1917,1,1
1921,1,8
1922,1,9
1924,1,8
1928,1,8
1929,1,8
1930,1,8
1931,1,8
1931,1,8
1933,1,2
1935,1,1
1936,1,2
1937,1,4
1937,1,12
1937,1,12
1937,1,9
1938,1,8
1938,1,10
1938,1,12
1939,1,8
1939,1,12
1939,1,10
1939,1,8
1940,1,4
1940,1,8
1940,1,8
1940,1,1
1940,1,7
1940,1,2
1941,1,10
1941,1,8
1941,1,8
1941,1,8
1941,1,8
1942,1,4
1942,1,8
1942,1,2
1942,1,3
1942,1,3
1942,1,3
1943,1,8
1943,1,8
1943,1,8
1943,1,8
1943,1,2
1945,1,2
1946,1,8
1946,1,8
1946,1,9
1947,1,4
1948,1,7
1948,1,12
1948,1,8
1948,1,10
1948,1,8
1949,1,1
1949,1,9
1951,1,8
1951,1,3
1953,1,2
1954,1,6
1954,1,10
1956,1,2
1956,1,4
1958,1,1
1959,1,2
1959,1,1
1960,1,1
1960,1,1
1961,1,2
1962,1,10
1962,1,10
1962,1,1
1962,1,2
1962,1,1
1962,1,8
1963,1,2
1963,1,2
1963,1,1
1963,1,1
1963,1,1
1963,1,1
1964,1,2
1964,1,1
1964,1,3
1965,1,9
1965,1,1
1965,1,2
1965,1,1
1966,1,1
1966,1,3
1966,1,2
1966,1,1
1966,1,1
1966,1,1
1967,1,1
1967,1,1
1967,1,1
1967,1,1
1967,1,1
1967,1,1
1967,1,1
1967,1,2
1968,1,2
1968,1,3
1968,1,8
1968,1,1
1968,1,1
1969,1,1
1969,1,7
1969,1,1
1969,1,8
1969,1,1
1970,1,8
1970,1,8
1970,1,2
1971,1,2
1971,1,8
1971,1,8
1972,1,8
1972,1,1
1972,1,3
1973,1,8
1973,1,2
1973,1,2
1974,1,2
1974,1,8
1975,1,8
1975,1,9
1975,1,3
1975,1,3
1975,1,7
1975,1,10
1975,1,8
1975,1,1
1976,1,9
1976,1,2
1976,1,10
1976,1,8
1976,1,8
1976,1,1
1976,1,4
1977,1,8
1977,1,2
1977,1,1
1977,1,1
1978,1,2
1978,1,10
1979,1,9
1979,1,1
1979,1,8
1980,1,8
1981,1,1
1981,1,10
1982,1,2
1982,1,1
1982,1,1
1983,1,10
1983,1,1
1983,1,8
1983,1,8
1984,1,7
1984,1,1
1985,1,2
1985,1,1
1985,1,2
1986,1,1
1986,1,8
1986,1,2
1986,1,8
1987,1,9
1987,1,10
1988,1,3
1988,1,8
1988,1,1
1988,1,8
1989,1,9
1989,1,1
1990,1,1
1990,1,1
1990,1,9
1990,1,1
1990,1,1
1991,1,1
1991,1,8
1991,1,5
1992,1,1
1993,1,1
1993,1,8
1994,1,1
1994,1,2
1994,1,1
1995,1,8
1995,1,10
1995,1,3
1995,1,4
1996,1,3
1997,1,8
1997,1,1
1997,1,1
1998,1,2
1998,1,10
1999,1,3
2000,1,12
2001,1,10
2001,1,1
2001,1,1
2001,1,1
2002,1,5
2003,1,1
2004,1,1
2005,1,10
2005,1,8
2006,1,5
2006,1,8
2006,1,9
2006,1,2
2006,1,8
2008,1,2
2008,1,1
2009,1,3
2009,1,1
2010,1,9
2012,1,1
2014,1,4
2014,1,4
2015,1,1
2017,1,7
2017,1,8
2017,1,2
2018,1,4
2018,1,2
2018,1,8
2018,1,2
2019,1,1
2020,1,1